ClassName,GlobalRef,Global,GlobalBytesUsed,GlobalKB,GlobalMB,GlobalGB,HasGlobalMap,Status,Rows,HasLog,HasCSV,SizeBytes,SizeKB,SizeMB,SizeGB,Note,BaseGlobal
SITE.MCTest,,,0.0,,,,False,OK,1195701.0,True,True,29737124.0,29040.16,28.3595,0.027695,\Success\,nan
SITE.MCTestData,,,0.0,,,,False,OK,243795.0,True,True,6959905.0,6796.78,6.6375,0.006482,\Success\,nan
SITE.MCWorkup,,,0.0,,,,False,OK,1852286.0,True,True,269568045.0,263250.04,257.0801,0.251055,\Success\,nan
SITE.MCWorkupView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MGAPBILLVIEW,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MGAPBilling,,,0.0,,,,False,OK,0.0,True,True,120.0,0.12,0.0001,0.0,\Success\,nan
SITE.MGAPBillingDetail,,,0.0,,,,False,OK,0.0,True,True,42.0,0.04,0.0,0.0,\Success\,nan
SITE.MGBILLView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MGBilling,,,0.0,,,,False,OK,0.0,True,True,434.0,0.42,0.0004,0.0,\Success\,nan
SITE.MGIBill,,,0.0,,,,False,OK,0.0,True,True,82.0,0.08,0.0001,0.0,\Success\,nan
SITE.MGQCView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MGRevStatsView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MGTATOrd,,,0.0,,,,False,OK,245137.0,True,True,4120384.0,4023.81,3.9295,0.003837,\Success\,nan
SITE.MGTATRes,,,0.0,,,,False,OK,794418.0,True,True,86184307.0,84164.36,82.1918,0.080265,\Success\,nan
SITE.MGTATView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MGVolStats,,,0.0,,,,False,OK,0.0,True,True,126.0,0.12,0.0001,0.0,\Success\,nan
SITE.MGVolStatsView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MGWkldMon,,,0.0,,,,False,OK,157418.0,True,True,8775799.0,8570.12,8.3693,0.008173,\Success\,nan
SITE.MHAccTime,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHAddress,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHBatchStatus,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHBirthdate,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHBit,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHBitVal,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHBloodType,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHCDBClient,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHComment,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHCommentTrans,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHContHistStatus,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHContStatusBitmap,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHConvert,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHDataTypes,,,0.0,,,,False,OK,0.0,True,True,61.0,0.06,0.0001,0.0,\Success\,nan
SITE.MHDate,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHDaysOfWeek,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHEnglishText,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHHospID,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHHourMinute,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHIsu,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHIsuInfo,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHMultChoice,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHName,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MHNoHosp,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
